Marca temporal,How much money have you used in-game?,SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>500USD & <1000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>1001USD & <2000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>2001USD & <3000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>3001USD & <4000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>4001USD & <5000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>5000USD]","And as final question, did you rerolled when you started playing?",,,
11/07/2018 10:37,Paid Gacha Only,,,,,,,,,,,,,,,,,Francis Drake,Zhuge Liang [El-Melloi II],,,,,Between 6 and 12 months,3,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:37,F2P,Altera,,Scathach,Francis Drake,,MHX,Minamoto no Raikō,,,Between 6 and 12 months,5,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:38,,,,,,,,,,,Less than 1 month,,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:38,Paid Gacha Only,,,,,,,,,,,,,,Altera,Gilgamesh,Brynhildr,,Zhuge Liang [El-Melloi II],,Cu Chulainn [Alter],,Jeanne D'arc [Alter],Between 6 and 12 months,7,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:38,F2P,,Gilgamesh,,,Zhuge Liang [El-Melloi II],Jack the Ripper,,,,More than 1 year,3,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:38,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Mordred, Ryougi Shiki",Gilgamesh,,,Zhuge Liang [El-Melloi II],Jack the Ripper,Vlad III,Jeanne D'arc,"Jeanne D'arc [Alter], Edmond Dantes",Between 6 and 12 months,14,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:39,Paid Gacha Only,,,,,,,,,,,,,,,,,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",Shuten Douji,"Vlad III, Cu Chulainn [Alter]",,Jeanne D'arc [Alter],More than 1 year,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:40,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nero Claudius [Bride],,,Iskandar,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",,,Jeanne D'arc,Jeanne D'arc [Alter],Between 3 and 6 months,9,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:40,F2P,Mordred,Gilgamesh,,,Zhuge Liang [El-Melloi II],,Sakata Kintoki,,,More than 1 year,7,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:40,F2P,,,,,,,Minamoto no Raikō,Jeanne D'arc,,More than 1 year,2,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:40,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Mordred, Ryougi Shiki",Orion,,Iskandar,Tamamo-no-mae,Jack the Ripper,Vlad III,Jeanne D'arc,Extra Option: Angra Mainyu,More than 1 year,14,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:40,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Ryougi Shiki","Nikola Tesla, Arjuna",,"Iskandar, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae","MHX, Shuten Douji","Cu Chulainn [Alter], Minamoto no Raikō",,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",Between 6 and 12 months,16,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:41,F2P,"Altera, Okita Souji",,Scathach,,Zhuge Liang [El-Melloi II],,"Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",Between 6 and 12 months,10,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:41,F2P,,Arjuna,Artoria Pendragon [Lancer],,,,,Jeanne D'arc,,Between 6 and 12 months,4,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:41,F2P,Ryougi Shiki,,Scathach,,Zhuge Liang [El-Melloi II],Jack the Ripper,"Vlad III, Minamoto no Raikō",Jeanne D'arc,,More than 1 year,7,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:42,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji","Gilgamesh, Orion",Scathach,"Francis Drake, Queen Medb, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae",Jack the Ripper,"Sakata Kintoki, Vlad III, Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,25,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:42,F2P,Altera,Gilgamesh,,Iskandar,Zhuge Liang [El-Melloi II],,,,Extra Option: Angra Mainyu,More than 1 year,4,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:42,F2P,,,,,,Jack the Ripper,Minamoto no Raikō,,Jeanne D'arc [Alter],Between 6 and 12 months,3,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:42,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Mordred","Gilgamesh, Orion, Nikola Tesla",Scathach,Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang","Jack the Ripper, MHX","Sakata Kintoki, Vlad III, Florence Nightingale",Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,28,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:43,F2P,Artoria Pendragon,"Gilgamesh, Orion",,Ozymandias,,,,Jeanne D'arc,Extra Option: Angra Mainyu,More than 1 year,7,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:43,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orion,Brynhildr,Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang",Jack the Ripper,Florence Nightingale,,Edmond Dantes,Between 6 and 12 months,11,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:43,F2P,"Artoria Pendragon, Altera",Orion,,,,,,,,Between 3 and 6 months,3,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:43,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Nero Claudius [Bride],,Karna,,Leonardo Da Vinci,,Florence Nightingale,Jeanne D'arc,,Between 6 and 12 months,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:43,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon [Lancer],"Francis Drake, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae",Shuten Douji,"Sakata Kintoki, Vlad III, Minamoto no Raikō",Jeanne D'arc,,More than 1 year,13,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:43,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred, Nero Claudius [Bride]","Orion, Nikola Tesla",Scathach,"Queen Medb, Ozymandias","Tamamo-no-mae, Xuanzang","Jack the Ripper, MHX","Vlad III, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,27,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:43,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Nero Claudius [Bride]",,,Ozymandias,Zhuge Liang [El-Melloi II],"Jack the Ripper, MHX",,,,Between 6 and 12 months,7,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:44,Paid Gacha Only,,,,,,,,,,,,,,"Altera, Ryougi Shiki",,,Queen Medb,Tamamo-no-mae,,,,,More than 1 year,5,,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:45,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred","Gilgamesh, Orion",Scathach,Ozymandias,Tamamo-no-mae,"Jack the Ripper, Shuten Douji","Sakata Kintoki, Vlad III, Cu Chulainn [Alter], Minamoto no Raikō",Jeanne D'arc,"Jeanne D'arc [Alter], Edmond Dantes, Extra Option: Angra Mainyu",More than 1 year,24,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:45,Paid Gacha Only,,,,,,,,,,,,,,"Altera, Mordred",Gilgamesh,,Francis Drake,Zhuge Liang [El-Melloi II],Jack the Ripper,Cu Chulainn [Alter],,,More than 1 year,8,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:46,F2P,,,"Scathach, Brynhildr",,Tamamo-no-mae,"Jack the Ripper, MHX",,,Jeanne D'arc [Alter],More than 1 year,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:46,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Nero Claudius [Bride]",,,,Zhuge Liang [El-Melloi II],,"Cu Chulainn [Alter], Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,7,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:46,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Altera",,,,,Jack the Ripper,Vlad III,,Jeanne D'arc [Alter],Between 6 and 12 months,5,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:47,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Francis Drake, Queen Medb",Zhuge Liang [El-Melloi II],Jack the Ripper,"Vlad III, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],Between 6 and 12 months,10,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:49,F2P,,,,Francis Drake,Zhuge Liang [El-Melloi II],,Cu Chulainn [Alter],,Extra Option: Angra Mainyu,More than 1 year,4,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:49,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Mordred",,,"Iskandar, Ozymandias",,,Vlad III,Jeanne D'arc,,Between 3 and 6 months,9,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:50,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mordred, Ryougi Shiki",Arjuna,"Scathach, Karna","Francis Drake, Ozymandias",Zhuge Liang [El-Melloi II],Jack the Ripper,Minamoto no Raikō,Jeanne D'arc,Jeanne D'arc [Alter],Between 6 and 12 months,13,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:50,Paid Gacha Only,,,,,,,,,,,,,,Mordred,,Karna,Ozymandias,,Jack the Ripper,Florence Nightingale,Amakusa Shirou,,,7,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:50,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Mordred",,"Scathach, Brynhildr","Francis Drake, Iskandar, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae",,"Sakata Kintoki, Vlad III, Cu Chulainn [Alter], Minamoto no Raikō",Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",Between 6 and 12 months,22,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:50,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Altera",,,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",,Cu Chulainn [Alter],,"Edmond Dantes, Extra Option: Angra Mainyu",More than 1 year,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:51,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,Minamoto no Raikō,Jeanne D'arc,,Between 6 and 12 months,3,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:52,Paid Gacha Only,,,,,,,,,,,,,,"Mordred, Nero Claudius [Bride]",,,Francis Drake,"Zhuge Liang [El-Melloi II], Xuanzang",MHX,,Jeanne D'arc,,More than 1 year,7,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:52,More than 500 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Mordred","Gilgamesh, Orion, Nikola Tesla",Scathach,"Iskandar, Ozymandias",Zhuge Liang [El-Melloi II],Shuten Douji,"Vlad III, Cu Chulainn [Alter], Florence Nightingale",Jeanne D'arc,Jeanne D'arc [Alter],Between 6 and 12 months,21,Male,,,Between 21 and 40,,,,"Yes, I rerolled",,,
11/07/2018 10:52,More than 500 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Mordred","Gilgamesh, Orion, Nikola Tesla",Scathach,"Iskandar, Ozymandias",Zhuge Liang [El-Melloi II],Shuten Douji,"Vlad III, Cu Chulainn [Alter], Florence Nightingale",Jeanne D'arc,Jeanne D'arc [Alter],Between 6 and 12 months,21,Male,,,Between 21 and 40,,,,"Yes, I rerolled",,,
11/07/2018 10:52,F2P,"Artoria Pendragon, Mordred",,,,,MHX,,,,Between 6 and 12 months,3,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:53,Paid Gacha Only,,,,,,,,,,,,,,"Mordred, Ryougi Shiki",Orion,Karna,Francis Drake,"Zhuge Liang [El-Melloi II], Xuanzang",Shuten Douji,"Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,12,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:53,F2P,"Artoria Pendragon, Altera, Ryougi Shiki","Gilgamesh, Orion",,,,MHX,"Cu Chulainn [Alter], Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,10,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:54,F2P,,,Scathach,,,,,,,Between 3 and 6 months,1,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:54,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",Gilgamesh,,"Francis Drake, Ozymandias",Tamamo-no-mae,,Vlad III,,Edmond Dantes,More than 1 year,10,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:54,Paid Gacha Only,,,,,,,,,,,,,,,,Artoria Pendragon [Lancer],Ozymandias,,,Minamoto no Raikō,,,Between 3 and 6 months,3,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:55,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Altera","Orion, Arjuna",,"Francis Drake, Ozymandias",Zhuge Liang [El-Melloi II],,,,Extra Option: Angra Mainyu,Between 6 and 12 months,9,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:55,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Nero Claudius [Bride]",Nikola Tesla,,,Zhuge Liang [El-Melloi II],Jack the Ripper,Vlad III,Jeanne D'arc,Jeanne D'arc [Alter],Between 3 and 6 months,6,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:56,F2P,,,,"Francis Drake, Ozymandias",,Shuten Douji,,,,Between 3 and 6 months,3,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:57,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,"Gilgamesh, Orion",Scathach,Ozymandias,Zhuge Liang [El-Melloi II],,"Sakata Kintoki, Cu Chulainn [Alter], Florence Nightingale",,,Between 6 and 12 months,9,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:57,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Altera",,Brynhildr,,,,Florence Nightingale,Jeanne D'arc,,Between 6 and 12 months,5,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:57,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orion,,"Francis Drake, Iskandar",Zhuge Liang [El-Melloi II],Jack the Ripper,Vlad III,Jeanne D'arc,,Between 6 and 12 months,10,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:58,Paid Gacha Only,,,,,,,,,,,,,,,Arjuna,,,,,,,,Between 1 and 3 months,1,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:58,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shuten Douji,Cu Chulainn [Alter],Jeanne D'arc,,Between 1 and 3 months,3,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:59,F2P,,,Scathach,,,,,Jeanne D'arc,Jeanne D'arc [Alter],Between 6 and 12 months,3,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 10:59,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Orion, Arjuna",,,Xuanzang,,,,Extra Option: Angra Mainyu,Between 3 and 6 months,3,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 11:00,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ozymandias,"Tamamo-no-mae, Xuanzang",,"Cu Chulainn [Alter], Florence Nightingale, Minamoto no Raikō",,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",Between 3 and 6 months,9,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 11:00,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Mordred",Gilgamesh,,"Francis Drake, Ozymandias",Zhuge Liang [El-Melloi II],,Vlad III,Jeanne D'arc,,Between 3 and 6 months,8,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
11/07/2018 11:00,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arjuna,,Queen Medb,Xuanzang,Shuten Douji,,,,Between 6 and 12 months,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 11:01,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,Florence Nightingale,,,Between 3 and 6 months,1,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 11:01,Paid Gacha Only,,,,,,,,,,,,,,,Arjuna,,Francis Drake,,,,Jeanne D'arc,,More than 1 year,3,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 11:02,Paid Gacha Only,,,,,,,,,,,,,,Artoria Pendragon,,Karna,"Francis Drake, Ozymandias",Zhuge Liang [El-Melloi II],,,,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,6,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 11:02,F2P,,,,Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",Jack the Ripper,,,Extra Option: Angra Mainyu,Between 6 and 12 months,4,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 11:02,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji",,,,"Zhuge Liang [El-Melloi II], Xuanzang",Shuten Douji,Minamoto no Raikō,Jeanne D'arc,,More than 1 year,9,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 11:03,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Okita Souji,Orion,,Ozymandias,,Jack the Ripper,"Vlad III, Cu Chulainn [Alter], Florence Nightingale",,,More than 1 year,9,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 11:03,F2P,,,,Iskandar,,Shuten Douji,"Sakata Kintoki, Minamoto no Raikō",,,Between 1 and 3 months,4,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 11:04,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brynhildr,,,"Jack the Ripper, MHX",Florence Nightingale,,Jeanne D'arc [Alter],Between 6 and 12 months,5,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 11:04,F2P,"Altera, Okita Souji",,Karna,Ozymandias,,Jack the Ripper,Cu Chulainn [Alter],,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",Between 6 and 12 months,7,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 11:04,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tamamo-no-mae,,Vlad III,,,More than 1 year,3,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 11:05,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",,Minamoto no Raikō,,Edmond Dantes,Between 3 and 6 months,4,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 11:05,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arjuna,,Ozymandias,,,,Jeanne D'arc,,Between 1 and 3 months,3,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 11:06,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Nero Claudius [Bride]",Gilgamesh,Scathach,Ozymandias,,MHX,Cu Chulainn [Alter],Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,15,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
